"ANO_CMPT","MES_CMPT","CNES","Indicador","Nome_Indicador","Nome_CNES"
"2021","01","0000396","281.0000","Numero de Cirurgias Apresentadas"," HC da Univ. Federal de Pernambuco (HC-UFPE)"
"2021","01","0002534","197.0000","Numero de Cirurgias Apresentadas"," HU da Universidade Federal de Sergipe (HU-UFS)"
"2021","01","0003816","231.0000","Numero de Cirurgias Apresentadas"," HU Professor Edgard Santos (Hupes-UFBA)"
"2021","01","0004731","68.0000","Numero de Cirurgias Apresentadas"," Maternidade Climério de Oliveira (MCO-UFBA)"
"2021","01","0009709","333.0000","Numero de Cirurgias Apresentadas"," HU Maria Aparecida Pedrossian (Humap-UFMS)"
"2021","01","0010510","716.0000","Numero de Cirurgias Apresentadas"," HU da Universidade de Brasília (HUB-UnB)"
"2021","01","0012505","163.0000","Numero de Cirurgias Apresentadas"," HU Antônio Pedro (HUAP-UFF)"
"2021","01","0027049","535.0000","Numero de Cirurgias Apresentadas"," HC da Univ. Federal de Minas Gerais (HC-UFMG)"
"2021","01","2006197","228.0000","Numero de Cirurgias Apresentadas"," HU Professor Alberto Antunes (HUPAA-UFAL)"
"2021","01","2017644","129.0000","Numero de Cirurgias Apresentadas"," HU Getúlio Vargas (HUGV-UFAM)"
"2021","01","2146355","1773.0000","Numero de Cirurgias Apresentadas"," Hospital de Clínicas de Uberlândia (HC-UFU)"
"2021","01","2206595","596.0000","Numero de Cirurgias Apresentadas"," HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)"
"2021","01","2218798","148.0000","Numero de Cirurgias Apresentadas"," HU da Univ. Federal de Juiz de Fora (HU-UFJF)"
"2021","01","2244306","1771.0000","Numero de Cirurgias Apresentadas"," HU da Univ. Federal de Santa Maria (HUSM-UFSM)"
"2021","01","2252694","201.0000","Numero de Cirurgias Apresentadas"," HE da Univ. Federal de Pelotas (HE-UFPel)"
"2021","01","2295415","607.0000","Numero de Cirurgias Apresentadas"," HU Gaffree e Guinle (HUGG-Unirio)"
"2021","01","2332981","113.0000","Numero de Cirurgias Apresentadas"," HU Joäo de Barros Barreto (HUJBB-UFPA)"
