"ANO_CMPT","MES_CMPT","Cod_Habilitacao","CNES"
"2023","11","0636","5586348"
"2023","11","2601","5586348"
"2023","11","1901","5586348"
"2023","11","1901","5586348"
"2023","10","0636","5586348"
"2023","10","1901","5586348"
"2023","10","1901","5586348"
"2023","10","2601","5586348"
"2023","09","0636","5586348"
"2023","09","1901","5586348"
"2023","09","2601","5586348"
"2023","09","1901","5586348"
"2024","12","1901","5586348"
"2024","12","2601","5586348"
"2024","12","0636","5586348"
"2024","12","2603","5586348"
"2024","11","0636","5586348"
"2024","11","2603","5586348"
"2024","11","2601","5586348"
"2024","11","1901","5586348"
"2024","10","2603","5586348"
"2024","10","0636","5586348"
"2024","10","1901","5586348"
"2024","10","2601","5586348"
"2024","08","2603","5586348"
"2024","08","2601","5586348"
"2024","08","1901","5586348"
"2024","08","0636","5586348"
"2024","09","1901","5586348"
"2024","09","2601","5586348"
"2024","09","2603","5586348"
"2024","09","0636","5586348"
"2023","07","1901","5586348"
"2023","07","0636","5586348"
"2023","07","1901","5586348"
"2023","07","2601","5586348"
"2023","08","0636","5586348"
"2023","08","1901","5586348"
"2023","08","2601","5586348"
"2023","08","1901","5586348"
"2024","07","1901","5586348"
"2024","07","2601","5586348"
"2024","07","0636","5586348"
"2024","07","2603","5586348"
"2024","06","2603","5586348"
"2024","06","2601","5586348"
"2024","06","1901","5586348"
"2024","06","0636","5586348"
"2024","05","2603","5586348"
"2024","05","0636","5586348"
"2024","05","2601","5586348"
"2024","05","1901","5586348"
"2023","05","1901","5586348"
"2023","05","2601","5586348"
"2023","05","1901","5586348"
"2023","05","0636","5586348"
"2023","06","1901","5586348"
"2023","06","0636","5586348"
"2023","06","2601","5586348"
"2023","06","1901","5586348"
"2023","04","1901","5586348"
"2023","04","1901","5586348"
"2023","04","0636","5586348"
"2023","04","2601","5586348"
"2024","04","2601","5586348"
"2024","04","1901","5586348"
"2024","04","0636","5586348"
"2021","07","0636","5586348"
"2021","07","2612","5586348"
"2021","07","2806","5586348"
"2021","08","2612","5586348"
"2021","08","2806","5586348"
"2021","08","0636","5586348"
"2024","03","0636","5586348"
"2024","03","1901","5586348"
"2024","03","2601","5586348"
"2021","09","2612","5586348"
"2021","09","2806","5586348"
"2021","09","0636","5586348"
"2024","02","0636","5586348"
"2024","02","2601","5586348"
"2024","02","1901","5586348"
"2024","01","1901","5586348"
"2024","01","0636","5586348"
"2024","01","2601","5586348"
"2023","03","0636","5586348"
"2023","03","1901","5586348"
"2023","03","2601","5586348"
"2023","03","1901","5586348"
"2021","05","2806","5586348"
"2021","05","2612","5586348"
"2021","05","0636","5586348"
"2023","02","1901","5586348"
"2023","02","2601","5586348"
"2023","02","1901","5586348"
"2023","02","0636","5586348"
"2021","06","0636","5586348"
"2021","06","2612","5586348"
"2021","06","2806","5586348"
"2021","10","2612","5586348"
"2021","10","0636","5586348"
"2021","10","2806","5586348"
"2023","12","1901","5586348"
"2023","12","0636","5586348"
"2023","12","2601","5586348"
"2021","11","0636","5586348"
"2021","11","2612","5586348"
"2021","04","0636","5586348"
"2021","04","2806","5586348"
"2021","04","2612","5586348"
"2021","12","2612","5586348"
"2021","12","0636","5586348"
"2021","03","2612","5586348"
"2021","03","0636","5586348"
"2022","02","0636","5586348"
"2022","01","0636","5586348"
"2023","01","0636","5586348"
"2023","01","2601","5586348"
"2023","01","1901","5586348"
"2021","02","0636","5586348"
"2021","02","2612","5586348"
"2020","12","0636","5586348"
"2020","12","2612","5586348"
"2022","11","2601","5586348"
"2022","11","0636","5586348"
"2021","01","0636","5586348"
"2021","01","2612","5586348"
"2022","12","2601","5586348"
"2022","12","0636","5586348"
"2022","12","1901","5586348"
"2020","11","2612","5586348"
"2020","11","0636","5586348"
"2020","10","2612","5586348"
"2020","10","0636","5586348"
"2022","10","0636","5586348"
"2022","10","2601","5586348"
"2022","09","0636","5586348"
"2022","09","2601","5586348"
"2022","05","2601","5586348"
"2022","05","0636","5586348"
"2020","09","2612","5586348"
"2022","06","2601","5586348"
"2022","06","0636","5586348"
"2022","08","2601","5586348"
"2022","08","0636","5586348"
"2020","08","2612","5586348"
"2022","04","0636","5586348"
"2022","04","2601","5586348"
"2022","07","2601","5586348"
"2022","07","0636","5586348"
"2022","03","0636","5586348"
"2022","03","2601","5586348"
"2023","11","1505","0027049"
"2023","11","3508","0027049"
"2023","11","3509","0027049"
"2023","11","3507","0027049"
"2023","11","1709","0027049"
"2023","11","2205","0027049"
"2023","11","2407","0027049"
"2023","11","2501","0027049"
"2023","11","2304","0027049"
"2023","11","2301","0027049"
"2023","11","1902","0027049"
"2023","11","2403","0027049"
"2023","11","0811","0027049"
"2023","11","2432","0027049"
"2023","11","1901","0027049"
"2023","11","2901","0027049"
"2023","11","1717","0027049"
"2023","11","0202","0027049"
"2023","11","2402","0027049"
"2023","11","2401","0027049"
"2023","11","2603","0027049"
"2023","11","2601","0027049"
"2023","11","1901","0027049"
"2023","11","2901","0027049"
"2023","11","2703","0027049"
"2023","11","1101","0027049"
"2023","11","1204","0027049"
"2023","11","3202","0027049"
"2023","11","2420","0027049"
"2023","11","1708","0027049"
"2023","11","1414","0027049"
"2023","11","1504","0027049"
"2023","11","1102","0027049"
"2023","11","2610","0027049"
"2023","11","1602","0027049"
"2023","11","2409","0027049"
"2023","11","1404","0027049"
"2023","11","2203","0027049"
"2023","11","2411","0027049"
"2023","11","2408","0027049"
"2023","11","1902","0027049"
"2023","11","0305","0027049"
"2023","11","0802","0027049"
"2023","11","0803","0027049"
"2023","11","0804","0027049"
"2023","11","0805","0027049"
"2023","11","0806","0027049"
"2023","11","0807","0027049"
"2023","11","2802","0027049"
"2023","11","2446","0027049"
"2023","11","2440","0027049"
"2023","11","2453","0027049"
"2023","11","1723","0027049"
"2023","11","2608","0027049"
"2023","11","2803","0027049"
"2023","11","0506","0027049"
"2023","11","2462","0027049"
"2023","11","1709","0027049"
"2023","11","1708","0027049"
"2023","11","3511","0027049"
"2023","11","3515","0027049"
"2023","11","0203","0027049"
"2023","11","3002","2218798"
"2023","11","2420","2218798"
"2023","11","2403","2218798"
"2023","11","2402","2218798"
"2023","11","2401","2218798"
"2023","11","3003","2218798"
"2023","11","2401","2218798"
"2023","11","1901","2218798"
"2023","11","1902","2218798"
"2023","11","1104","2218798"
"2023","11","1901","2218798"
"2023","11","1902","2218798"
"2023","11","2408","2218798"
"2023","11","2420","2218798"
"2023","11","2403","2218798"
"2023","11","2501","2218798"
"2023","11","1204","2218798"
"2023","11","1409","2218798"
"2023","11","2601","2218798"
"2023","11","2901","2218798"
"2023","11","1203","2218798"
"2023","11","1101","2218798"
"2023","11","2901","2218798"
"2023","11","3202","2218798"
"2023","11","2301","2218798"
"2023","11","2304","2218798"
"2023","11","1202","2218798"
"2023","11","3507","2218798"
"2023","11","3512","2218798"
"2023","11","3508","2218798"
"2023","11","3510","2218798"
"2023","11","3511","2218798"
"2023","11","0617","2218798"
"2023","11","2402","2218798"
"2023","11","1504","2218798"
"2023","11","1505","2218798"
"2023","11","3509","2218798"
"2023","11","2502","2206595"
"2023","11","0803","2206595"
"2023","11","0804","2206595"
"2023","11","0805","2206595"
"2023","11","2301","2206595"
"2023","11","2304","2206595"
"2023","11","1706","2206595"
"2023","11","1723","2206595"
"2023","11","2408","2206595"
"2023","11","2401","2206595"
"2023","11","2902","2206595"
"2023","11","1707","2206595"
"2023","11","1708","2206595"
"2023","11","2901","2206595"
"2023","11","2610","2206595"
"2023","11","2420","2206595"
"2023","11","2407","2206595"
"2023","11","2603","2206595"
"2023","11","0806","2206595"
"2023","11","0807","2206595"
"2023","11","2401","2206595"
"2023","11","2601","2206595"
"2023","11","2422","2206595"
"2023","11","1706","2206595"
"2023","11","1414","2206595"
"2023","11","1901","2206595"
"2023","11","1902","2206595"
"2023","11","2201","2206595"
"2023","11","3202","2206595"
"2023","11","2604","2206595"
"2023","11","0203","2206595"
"2023","11","1708","2206595"
"2023","11","1707","2206595"
"2023","11","1101","2206595"
"2023","11","2408","2206595"
"2023","11","1601","2206595"
"2023","11","1901","2206595"
"2023","11","1902","2206595"
"2023","11","1102","2206595"
"2023","11","0506","2206595"
"2023","11","1504","2206595"
"2023","11","1505","2206595"
"2023","11","2901","2206595"
"2023","11","2420","2206595"
"2023","11","1204","2206595"
"2023","11","2703","2206595"
"2023","11","0802","2206595"
"2023","11","2420","2146339"
"2023","11","3202","2146339"
"2023","11","0506","2146339"
"2023","11","1707","2146355"
"2023","11","1709","2146355"
"2023","11","2407","2146355"
"2023","11","1506","2146355"
"2023","11","1723","2146355"
"2023","11","2448","2146355"
"2023","11","2604","2146355"
"2023","11","2601","2146355"
"2023","11","2422","2146355"
"2023","11","2413","2146355"
"2023","11","2420","2146355"
"2023","11","2408","2146355"
"2023","11","1708","2146355"
"2023","11","2610","2146355"
"2023","11","2611","2146355"
"2023","11","1602","2146355"
"2023","11","1801","2146355"
"2023","11","1902","2146355"
"2023","11","0813","2146355"
"2023","11","2101","2146355"
"2023","11","1718","2146355"
"2023","11","2609","2146355"
"2023","11","2407","2146355"
"2023","11","0802","2146355"
"2023","11","2420","2146355"
"2023","11","2802","2146355"
"2023","11","0636","2146355"
"2023","11","1708","2146355"
"2023","11","2401","2146355"
"2023","11","2803","2146355"
"2023","11","2422","2146355"
"2023","11","1204","2146355"
"2023","11","0803","2146355"
"2023","11","0804","2146355"
"2023","11","0805","2146355"
"2023","11","0806","2146355"
"2023","11","0807","2146355"
"2023","11","3002","2146355"
"2023","11","1707","2146355"
"2023","11","2205","2146355"
"2023","11","1414","2146355"
"2023","11","1902","2146355"
"2023","11","2607","2146355"
"2023","11","2413","2146355"
"2023","11","1101","2146355"
"2023","11","2501","2146355"
"2023","11","1901","2146355"
"2023","11","2429","2146355"
"2023","11","2703","2146355"
"2023","11","0101","2146355"
"2023","11","1901","2146355"
"2023","11","2606","2146355"
"2023","11","1616","2146355"
"2023","11","1301","2146355"
"2023","11","0203","2146355"
"2023","11","2102","2146355"
"2023","11","1709","2146355"
"2023","11","2304","2146355"
"2023","11","2301","2146355"
"2023","11","2408","2146355"
"2023","11","1409","2146355"
"2023","11","1504","2146371"
"2023","11","1505","2146371"
"2023","10","0804","0027049"
"2023","10","0805","0027049"
"2023","10","0806","0027049"
"2023","10","0807","0027049"
"2023","10","1708","0027049"
"2023","10","1504","0027049"
"2023","10","0305","0027049"
"2023","10","1901","0027049"
"2023","10","2901","0027049"
"2023","10","2440","0027049"
"2023","10","2453","0027049"
"2023","10","2462","0027049"
"2023","10","2446","0027049"
"2023","10","2203","0027049"
"2023","10","1602","0027049"
"2023","10","2408","0027049"
"2023","10","1902","0027049"
"2023","10","3511","0027049"
"2023","10","3515","0027049"
"2023","10","0203","0027049"
"2023","10","1723","0027049"
"2023","10","0506","0027049"
"2023","10","2608","0027049"
