"ANO_CMPT","MES_CMPT","CNES","Name_CNES","Indicador","Nome_Indicador"
"2020","01","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)","536","Número de Cirurgias Apresentadas"
"2020","01","0002534","HU da Universidade Federal de Sergipe (HU-UFS)","227","Número de Cirurgias Apresentadas"
"2020","01","0003816","HU Professor Edgard Santos (Hupes-UFBA)","382","Número de Cirurgias Apresentadas"
"2020","01","0004731","Maternidade Climério de Oliveira (MCO-UFBA)","81","Número de Cirurgias Apresentadas"
"2020","01","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)","519","Número de Cirurgias Apresentadas"
"2020","01","0010510","HU da Universidade de Brasília (HUB-UnB)","571","Número de Cirurgias Apresentadas"
"2020","01","0012505","HU Antônio Pedro (HUAP-UFF)","437","Número de Cirurgias Apresentadas"
"2020","01","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)","920","Número de Cirurgias Apresentadas"
"2020","01","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)","463","Número de Cirurgias Apresentadas"
"2020","01","2017644","HU Getúlio Vargas (HUGV-UFAM)","318","Número de Cirurgias Apresentadas"
"2020","01","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)","2493","Número de Cirurgias Apresentadas"
"2020","01","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)","633","Número de Cirurgias Apresentadas"
"2020","01","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)","602","Número de Cirurgias Apresentadas"
"2020","01","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)","1589","Número de Cirurgias Apresentadas"
"2020","01","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)","199","Número de Cirurgias Apresentadas"
"2020","01","2295415","HU Gaffree e Guinle (HUGG-Unirio)","319","Número de Cirurgias Apresentadas"
"2020","01","2332981","HU João de Barros Barreto (HUJBB-UFPA)","136","Número de Cirurgias Apresentadas"
"2020","01","2338424","HC da Universidade Federal de Goiás (HC-UFG)","768","Número de Cirurgias Apresentadas"
"2020","01","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)","912","Número de Cirurgias Apresentadas"
"2020","01","2400243","HU Lauro Wanderley (HULW-UFPB)","493","Número de Cirurgias Apresentadas"
"2020","01","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)","358","Número de Cirurgias Apresentadas"
"2020","01","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)","480","Número de Cirurgias Apresentadas"
"2020","01","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)","81","Número de Cirurgias Apresentadas"
"2020","01","2561492","HU Walter Cantídio (HUWC-UFC)","397","Número de Cirurgias Apresentadas"
"2020","01","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)","45","Número de Cirurgias Apresentadas"
"2020","01","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)","490","Número de Cirurgias Apresentadas"
"2020","01","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)","180","Número de Cirurgias Apresentadas"
"2020","01","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)","320","Número de Cirurgias Apresentadas"
"2020","01","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)","121","Número de Cirurgias Apresentadas"
"2020","01","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)","219","Número de Cirurgias Apresentadas"
"2020","01","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)","464","Número de Cirurgias Apresentadas"
"2020","01","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)","838","Número de Cirurgias Apresentadas"
"2020","01","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)","723","Número de Cirurgias Apresentadas"
"2020","01","3285391","HU da Universidade Federal do Piauí (HU-UFPI)","450","Número de Cirurgias Apresentadas"
"2020","01","3654826","Hospital de Doenças Tropicais (HDT-UFT)","0","Número de Cirurgias Apresentadas"
"2020","01","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)","158","Número de Cirurgias Apresentadas"
"2020","01","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)","689","Número de Cirurgias Apresentadas"
"2020","01","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)","0","Número de Cirurgias Apresentadas"
"2020","01","6042414","HU da Univ. Fed. Vale do São Francisco (HU-Univasf)","597","Número de Cirurgias Apresentadas"
"2020","01","6568343","Hospital Universitário de Lagarto (HUL-UFS)","95","Número de Cirurgias Apresentadas"
"2020","02","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)","756","Número de Cirurgias Apresentadas"
"2020","02","0002534","HU da Universidade Federal de Sergipe (HU-UFS)","284","Número de Cirurgias Apresentadas"
"2020","02","0003816","HU Professor Edgard Santos (Hupes-UFBA)","215","Número de Cirurgias Apresentadas"
"2020","02","0004731","Maternidade Climério de Oliveira (MCO-UFBA)","72","Número de Cirurgias Apresentadas"
"2020","02","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)","379","Número de Cirurgias Apresentadas"
"2020","02","0010510","HU da Universidade de Brasília (HUB-UnB)","630","Número de Cirurgias Apresentadas"
"2020","02","0012505","HU Antônio Pedro (HUAP-UFF)","284","Número de Cirurgias Apresentadas"
"2020","02","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)","795","Número de Cirurgias Apresentadas"
"2020","02","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)","314","Número de Cirurgias Apresentadas"
"2020","02","2017644","HU Getúlio Vargas (HUGV-UFAM)","232","Número de Cirurgias Apresentadas"
"2020","02","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)","2593","Número de Cirurgias Apresentadas"
"2020","02","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)","739","Número de Cirurgias Apresentadas"
"2020","02","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)","400","Número de Cirurgias Apresentadas"
"2020","02","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)","2070","Número de Cirurgias Apresentadas"
"2020","02","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)","230","Número de Cirurgias Apresentadas"
"2020","02","2295415","HU Gaffree e Guinle (HUGG-Unirio)","224","Número de Cirurgias Apresentadas"
"2020","02","2332981","HU João de Barros Barreto (HUJBB-UFPA)","170","Número de Cirurgias Apresentadas"
"2020","02","2338424","HC da Universidade Federal de Goiás (HC-UFG)","808","Número de Cirurgias Apresentadas"
"2020","02","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)","878","Número de Cirurgias Apresentadas"
"2020","02","2400243","HU Lauro Wanderley (HULW-UFPB)","452","Número de Cirurgias Apresentadas"
"2020","02","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)","324","Número de Cirurgias Apresentadas"
"2020","02","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)","435","Número de Cirurgias Apresentadas"
"2020","02","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)","91","Número de Cirurgias Apresentadas"
"2020","02","2561492","HU Walter Cantídio (HUWC-UFC)","309","Número de Cirurgias Apresentadas"
"2020","02","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)","41","Número de Cirurgias Apresentadas"
"2020","02","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)","332","Número de Cirurgias Apresentadas"
"2020","02","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)","252","Número de Cirurgias Apresentadas"
"2020","02","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)","227","Número de Cirurgias Apresentadas"
"2020","02","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)","117","Número de Cirurgias Apresentadas"
"2020","02","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)","137","Número de Cirurgias Apresentadas"
"2020","02","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)","423","Número de Cirurgias Apresentadas"
"2020","02","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)","863","Número de Cirurgias Apresentadas"
"2020","02","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)","565","Número de Cirurgias Apresentadas"
"2020","02","3285391","HU da Universidade Federal do Piauí (HU-UFPI)","472","Número de Cirurgias Apresentadas"
"2020","02","3654826","Hospital de Doenças Tropicais (HDT-UFT)","0","Número de Cirurgias Apresentadas"
"2020","02","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)","172","Número de Cirurgias Apresentadas"
"2020","02","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)","516","Número de Cirurgias Apresentadas"
"2020","02","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)","0","Número de Cirurgias Apresentadas"
"2020","02","6042414","HU da Univ. Fed. Vale do São Francisco (HU-Univasf)","473","Número de Cirurgias Apresentadas"
"2020","02","6568343","Hospital Universitário de Lagarto (HUL-UFS)","88","Número de Cirurgias Apresentadas"
"2020","03","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)","604","Número de Cirurgias Apresentadas"
"2020","03","0002534","HU da Universidade Federal de Sergipe (HU-UFS)","234","Número de Cirurgias Apresentadas"
"2020","03","0003816","HU Professor Edgard Santos (Hupes-UFBA)","274","Número de Cirurgias Apresentadas"
"2020","03","0004731","Maternidade Climério de Oliveira (MCO-UFBA)","69","Número de Cirurgias Apresentadas"
"2020","03","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)","526","Número de Cirurgias Apresentadas"
"2020","03","0010510","HU da Universidade de Brasília (HUB-UnB)","838","Número de Cirurgias Apresentadas"
"2020","03","0012505","HU Antônio Pedro (HUAP-UFF)","215","Número de Cirurgias Apresentadas"
"2020","03","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)","820","Número de Cirurgias Apresentadas"
"2020","03","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)","432","Número de Cirurgias Apresentadas"
"2020","03","2017644","HU Getúlio Vargas (HUGV-UFAM)","283","Número de Cirurgias Apresentadas"
"2020","03","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)","1874","Número de Cirurgias Apresentadas"
"2020","03","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)","662","Número de Cirurgias Apresentadas"
"2020","03","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)","318","Número de Cirurgias Apresentadas"
"2020","03","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)","2744","Número de Cirurgias Apresentadas"
"2020","03","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)","205","Número de Cirurgias Apresentadas"
"2020","03","2295415","HU Gaffree e Guinle (HUGG-Unirio)","183","Número de Cirurgias Apresentadas"
"2020","03","2332981","HU João de Barros Barreto (HUJBB-UFPA)","103","Número de Cirurgias Apresentadas"
"2020","03","2338424","HC da Universidade Federal de Goiás (HC-UFG)","758","Número de Cirurgias Apresentadas"
"2020","03","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)","665","Número de Cirurgias Apresentadas"
"2020","03","2400243","HU Lauro Wanderley (HULW-UFPB)","551","Número de Cirurgias Apresentadas"
"2020","03","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)","317","Número de Cirurgias Apresentadas"
"2020","03","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)","468","Número de Cirurgias Apresentadas"
"2020","03","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)","63","Número de Cirurgias Apresentadas"
"2020","03","2561492","HU Walter Cantídio (HUWC-UFC)","358","Número de Cirurgias Apresentadas"
"2020","03","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)","47","Número de Cirurgias Apresentadas"
"2020","03","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)","481","Número de Cirurgias Apresentadas"
"2020","03","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)","208","Número de Cirurgias Apresentadas"
"2020","03","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)","248","Número de Cirurgias Apresentadas"
"2020","03","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)","39","Número de Cirurgias Apresentadas"
"2020","03","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)","285","Número de Cirurgias Apresentadas"
"2020","03","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)","329","Número de Cirurgias Apresentadas"
"2020","03","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)","694","Número de Cirurgias Apresentadas"
"2020","03","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)","540","Número de Cirurgias Apresentadas"
"2020","03","3285391","HU da Universidade Federal do Piauí (HU-UFPI)","502","Número de Cirurgias Apresentadas"
"2020","03","3654826","Hospital de Doenças Tropicais (HDT-UFT)","0","Número de Cirurgias Apresentadas"
"2020","03","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)","109","Número de Cirurgias Apresentadas"
"2020","03","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)","629","Número de Cirurgias Apresentadas"
