"ANO_CMPT","MES_CMPT","CODUFMUN","CNES","TP_LEITO","CODLEITO","QT_EXIST"
"2021","07","354890","5586348","Pediátrico","45",17
"2021","07","354890","5586348","Complementar","51",14
"2021","07","354890","5586348","Clínico","33",48
"2021","07","354890","5586348","Clínico","87",8
"2021","07","354890","5586348","Complementar","66",2
"2021","07","354890","5586348","Complementar","96",6
"2021","06","354890","5586348","Complementar","51",14
"2021","06","354890","5586348","Clínico","33",48
"2021","06","354890","5586348","Pediátrico","45",17
"2021","06","354890","5586348","Complementar","96",6
"2021","06","354890","5586348","Clínico","87",8
"2021","06","354890","5586348","Complementar","66",2
"2021","08","354890","5586348","Clínico","87",8
"2021","08","354890","5586348","Complementar","66",2
"2021","08","354890","5586348","Complementar","96",6
"2021","08","354890","5586348","Clínico","33",48
"2021","08","354890","5586348","Pediátrico","45",17
"2021","08","354890","5586348","Complementar","51",14
"2021","05","354890","5586348","Complementar","51",14
"2021","05","354890","5586348","Pediátrico","45",17
"2021","05","354890","5586348","Complementar","96",6
"2021","05","354890","5586348","Clínico","33",48
"2021","05","354890","5586348","Complementar","66",2
"2021","05","354890","5586348","Clínico","87",8
"2021","09","354890","5586348","Clínico","33",48
"2021","09","354890","5586348","Clínico","87",8
"2021","09","354890","5586348","Complementar","66",2
"2021","09","354890","5586348","Complementar","96",6
"2021","09","354890","5586348","Pediátrico","45",17
"2021","09","354890","5586348","Complementar","51",14
"2021","04","354890","5586348","Clínico","33",48
"2021","04","354890","5586348","Pediátrico","45",17
"2021","04","354890","5586348","Complementar","51",14
"2021","04","354890","5586348","Complementar","66",2
"2021","04","354890","5586348","Clínico","87",8
"2021","04","354890","5586348","Complementar","96",4
"2021","10","354890","5586348","Pediátrico","45",17
"2021","10","354890","5586348","Complementar","66",2
"2021","10","354890","5586348","Clínico","87",8
"2021","10","354890","5586348","Complementar","96",6
"2021","10","354890","5586348","Complementar","51",14
"2021","10","354890","5586348","Clínico","33",48
"2021","03","354890","5586348","Complementar","66",2
"2021","03","354890","5586348","Pediátrico","45",17
"2021","03","354890","5586348","Complementar","96",4
"2021","03","354890","5586348","Clínico","33",48
"2021","03","354890","5586348","Clínico","87",8
"2021","03","354890","5586348","Complementar","51",10
"2022","02","354890","5586348","Complementar","51",10
