"ANO_CMPT","MES_CMPT","CNES","Name_CNES","num_dias_perman_hosp","num_motivos_saida_hosp","num_dias_perman_clinica","num_motivos_saida_clinica","num_dias_perman_cirurgica","num_motivos_saida_cirurgica","num_partos_cesareos","num_partos_total","N_dias_em_UTI","N_CIRURGIAS_APRE","N_Internacoes_H","N_leitos_UTI","N_leitos_hosp_sem_leitos_hosp_dia"
"2020","01","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",5852,934,4376,549,1298,371,86,138,562,536,1103,20,350
"2020","01","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",2149,319,1647,142,502,177,0,0,136,227,326,5,116
"2020","01","0003816","HU Professor Edgard Santos (Hupes-UFBA)",6299,598,5230,301,895,265,0,0,605,382,719,28,276
"2020","01","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",973,159,734,86,239,73,34,71,175,81,183,10,66
"2020","01","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",6045,917,3604,497,2440,420,71,240,710,519,982,30,199
"2020","01","0010510","HU da Universidade de Brasília (HUB-UnB)",2197,490,1551,232,600,251,26,64,236,571,535,29,206
"2020","01","0012505","HU Antônio Pedro (HUAP-UFF)",5497,666,2781,344,2613,312,31,44,808,437,730,34,234
"2020","01","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",12317,1675,7873,885,3271,658,80,195,1763,920,1961,79,435
"2020","01","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",4417,650,3158,345,1249,303,127,203,739,463,758,45,248
"2020","01","2017644","HU Getúlio Vargas (HUGV-UFAM)",1762,342,748,103,1014,239,0,0,189,318,370,12,159
"2020","01","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",12912,1793,7277,825,5452,950,132,206,1574,2493,1966,68,506
"2020","01","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",5535,767,2886,350,2639,417,56,133,687,633,855,40,296
"2020","01","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)",2938,288,1914,128,797,146,0,0,325,602,371,9,137
"2020","01","2244306","HU da Univ. Federal de Santa Maria (HUSM-UFSM)",8235,1231,5316,663,2779,555,130,204,606,1589,1272,34,364
"2020","01","2252694","HE da Univ. Federal de Pelotas (HE-UFPel)",3980,335,2757,220,1223,115,30,65,429,199,386,15,165
"2020","01","2295415","HU Gaffree e Guinle (HUGG-Unirio)",2462,447,1336,170,1108,259,29,72,166,319,476,14,224
"2020","01","2332981","HU João de Barros Barreto (HUJBB-UFPA)",2098,175,1448,92,650,83,0,0,179,136,195,10,289
"2020","01","2338424","HC da Universidade Federal de Goiás (HC-UFG)",6035,938,3780,524,2230,410,42,63,630,768,965,25,233
"2020","01","2384299","Complexo do HC da Univ.Fed. do Paraná (CHC-UFPR)",5813,1099,3011,472,2257,568,57,126,1159,912,1279,58,600
"2020","01","2400243","HU Lauro Wanderley (HULW-UFPB)",4426,655,3343,339,1059,313,81,138,516,493,734,42,229
"2020","01","2409208","Maternidade Escola Januário Cicco (Mejc-UFRN)",3850,656,2698,340,1152,316,165,305,841,358,718,26,128
"2020","01","2481286","Maternidade Escola Assis Chateaubriand (Meac-UFC)",5689,1025,4006,596,1683,429,238,389,700,480,1060,28,254
"2020","01","2504502","HU Júlio Maria Bandeira de Mello (HUJB-UFCG)",287,104,146,41,141,63,0,0,0,81,104,NA,30
"2020","01","2561492","HU Walter Cantídio (HUWC-UFC)",4661,497,2791,200,943,213,0,0,387,397,701,15,197
"2020","01","2640244","Maternidade Victor F. do Amaral (MVFA-UFPR)",371,156,286,111,85,45,30,105,0,45,156,NA,53
"2020","01","2653982","Hospital Universitário Onofre Lopes (Huol-UFRN)",5661,749,3789,365,1493,361,0,0,585,490,819,24,235
"2020","01","2655411","Hospital Universitário Júlio Muller (HUJM-UFMT)",2777,360,1970,204,807,156,29,76,482,180,360,18,116
"2020","01","2676060","Hospital Universitário Alcides Carneiro (HUAC-UFCG)",3574,420,2893,215,681,204,0,0,479,320,454,19,165
"2020","01","2694751","HU Bettina Ferro de Souza (HUBFS-UFPA)",144,116,0,0,128,100,0,0,0,121,116,NA,21
"2020","01","2707675","HU Dr. Miguel Riet Correa Junior (HU-Furg)",3313,592,2833,376,479,215,65,146,759,219,597,26,215
"2020","01","2710935","HU da Univ. Federal da Grande Dourados (HU-UFGD)",4658,894,3380,482,1237,410,180,316,630,464,917,35,190
"2020","01","2726653","HU da Universidade Federal do Maranhão (HU-UFMA)",9444,1335,5397,570,3767,742,145,281,1117,838,1390,55,448
"2020","01","3157245","HU da Univ. Federal de Santa Catarina (HU-UFSC)",4950,1012,2665,509,2247,498,99,219,290,723,1052,22,213
"2020","01","3285391","HU da Universidade Federal do Piauí (HU-UFPI)",4869,441,2638,174,2231,267,0,0,306,450,511,15,192
"2020","01","3654826","Hospital de Doenças Tropicais (HDT-UFT)",841,136,841,136,0,0,0,0,0,0,136,NA,48
"2020","01","4014111","Hospital Universitário Ana Bezerra (Huab-UFRN)",950,316,556,164,394,152,118,237,0,158,318,5,63
"2020","01","4044916","HU Cassiano Antônio Moraes (Hucam-UFES)",6793,1054,4069,464,2710,571,49,78,808,689,1124,28,253
"2020","01","5586348","HU da Univ. Federal de São Carlos (HU-Ufscar)",762,171,762,171,0,0,0,0,0,0,171,NA,50
"2020","01","6042414","HU da Univ. Fed. Vale do São Francisco (HU-Univasf)",3960,631,1996,290,1963,341,0,0,512,597,685,21,150
"2020","01","6568343","Hospital Universitário de Lagarto (HUL-UFS)",1925,329,1537,236,388,93,0,0,169,95,339,10,78
"2020","02","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",5282,956,3548,491,1609,449,78,128,237,756,1192,20,350
